"name","href"
"Accounting And Corporate Regulatory Authority (ACRA)","http://www.acra.gov.sg"
"Agency For Science, Technology And Research (A*STAR)","http://www.a-star.edu.sg"
"Agri-Food & Veterinary Authority Of Singapore (AVA)","http://www.ava.gov.sg"
"Board Of Architects (BOA)","http://www.boa.gov.sg"
"Building And Construction Authority (BCA)","http://www.bca.gov.sg"
"Casino Regulatory Authority Of Singapore (CRA)","http://www.cra.gov.sg"
"Central Provident Fund Board (CPFB)","http://www.cpf.gov.sg"
"Civil Aviation Authority Of Singapore (CAAS)","http://www.caas.gov.sg"
"Civil Service College (CSC)","http://www.cscollege.gov.sg"
"Competition Commission Of Singapore (CCS)","http://www.ccs.gov.sg"
"Council For Estate Agencies (CEA)","http://www.cea.gov.sg"
"Council For Private Education (CPE)","http://www.cpe.gov.sg"
"Defence Science And Technology Agency (DSTA)","http://www.dsta.gov.sg"
"Economic Development Board (EDB)","http://www.sedb.com"
"Energy Market Authority (EMA)","http://www.ema.gov.sg"
"Health Promotion Board (HPB)","http://www.hpb.gov.sg"
"Health Sciences Authority (HSA)","http://www.hsa.gov.sg"
"Hindu Endowments Board (HEB)","http://www.heb.gov.sg"
"Hotels Licensing Board (HLB)","http://www.hlb.gov.sg"
"Housing & Development Board (HDB)","http://www.hdb.gov.sg"
"Infocomm Development Authority Of Singapore (IDA)","http://www.ida.gov.sg"
"Inland Revenue Authority Of Singapore (IRAS)","http://www.iras.gov.sg"
"Institute Of Southeast Asian Studies (ISEAS)","http://www.iseas.edu.sg"
"Institute Of Technical Education (ITE)","http://www.ite.edu.sg"
"Intellectual Property Office Of Singapore (IPOS)","http://www.ipos.gov.sg"
"International Enterprise Singapore (IE)","http://www.iesingapore.com"
"Singapore Labour Foundation (SLF)",""
"JTC Corporation (JTC)","http://www.jtc.gov.sg"
"Land Transport Authority (LTA)","http://www.lta.gov.sg"
"Majlis Ugama Islam, Singapura (MUIS)","http://www.muis.gov.sg"
"Maritime And Port Authority Of Singapore (MPA)","http://www.mpa.gov.sg"
"Media Development Authority (MDA)","http://www.mda.gov.sg"
"Strata Title Board (STB)",""
"Monetary Authority Of Singapore (MAS)","http://www.mas.gov.sg"
"Nanyang Polytechnic (NYP)","http://www.nyp.edu.sg"
"National Arts Council (NAC)","http://www.nac.gov.sg"
"National Council Of Social Service (NCSS)","http://www.ncss.org.sg"
"National Environment Agency (NEA)","http://www.nea.gov.sg"
"National Heritage Board (NHB)","http://www.nhb.gov.sg/"
"National Library Board (NLB)","http://www.nlb.gov.sg"
"National Parks Board (NPARKS)","http://www.nparks.gov.sg"
"Ngee Ann Polytechnic (NP)","http://www.np.edu.sg"
"Peopleâ€™s Association (PA)","http://www.pa.gov.sg"
"Personal Data Protection Commission (PDPC)","http://www.pdpc.gov.sg"
"Professional Engineers Board, Singapore (PEB)","http://www.peb.gov.sg"
"PUB, The National Water Agency (PUB)","http://www.pub.gov.sg"
"Public Transport Council (PTC)","http://www.ptc.gov.sg"
"Republic Polytechnic (RP)","http://www.rp.edu.sg/"
"Science Centre Board (SCB)","http://www.science.edu.sg"
"Sentosa Development Corporation (SDC)","http://www.sentosa.com.sg"
"Singapore Accountancy Commission (SAC)","http://www.sac.gov.sg"
"Singapore Corporation Of Rehabilitative Enterprises (SCORE)","http://www.score.gov.sg"
"Singapore Dental Council (SDC)","http://www.sdc.gov.sg"
"Singapore Examinations And Assessment Board (SEAB)","http://www.seab.gov.sg/"
"Singapore Land Authority (SLA)","http://www.sla.gov.sg"
"Singapore Medical Council (SMC)","http://www.smc.gov.sg"
"Singapore Nursing Board (SNB)","http://www.snb.gov.sg"
"Singapore Pharmacy Council (SPC)","http://www.spc.gov.sg"
"Singapore Polytechnic (SP)","http://www.sp.edu.sg"
"Singapore Tourism Board (STB)","http://www.stb.gov.sg"
"Singapore Workforce Development Agency (WDA)","http://www.wda.gov.sg"
"Sport Singapore (SPORTSG)","http://www.sportsingapore.gov.sg"
"SPRING Singapore (SPRING)","http://www.spring.gov.sg"
"TCM PRACTITIONERS BOARD (TCMPB)","http://www.tcmpb.gov.sg"
"Temasek Polytechnic (TP)","http://www.tp.edu.sg"
"Tote Board (SINGAPORE TOTALISATOR BOARD)","http://www.toteboard.gov.sg"
"Urban Redevelopment Authority (URA)","http://www.ura.gov.sg"
